population size,number iterations,elitism fraction,crossover probability,mutation probability,inner mutation probability,score,weight
10,120,0.1,0.4,0.4,0.1,248.0,209.0
10,120,0.1,0.4,0.7,0.1,208.0,184.0
10,120,0.1,0.4,1,0.1,236.0,261.0
10,120,0.1,0.7,0,0.1,116.0,157.0
10,120,0.1,0.7,0.1,0.1,242.0,242.0
10,120,0.1,0.7,0.4,0.1,294.0,260.0
10,120,0.1,0.7,0.7,0.1,273.0,266.0
10,120,0.1,0.7,1,0.1,288.0,268.0
10,120,0.1,1,0,0.1,187.0,220.0
10,120,0.1,1,0.1,0.1,260.0,267.0
10,120,0.1,1,0.4,0.1,287.0,268.0
10,120,0.1,1,0.7,0.1,274.0,266.0
10,120,0.1,1,1,0.1,288.0,268.0
10,120,0.15,0,0,0.1,137.0,157.0
10,120,0.15,0,0.1,0.1,208.0,235.0
10,120,0.15,0,0.4,0.1,152.0,154.0
10,120,0.15,0,0.7,0.1,69.0,142.0
10,120,0.15,0,1,0.1,194.0,182.0
10,120,0.15,0.1,0,0.1,187.0,94.0
10,120,0.15,0.1,0.1,0.1,164.0,211.0
10,120,0.15,0.1,0.4,0.1,206.0,254.0
10,120,0.15,0.1,0.7,0.1,293.0,249.0
10,120,0.15,0.1,1,0.1,196.0,236.0
10,120,0.15,0.4,0,0.1,137.0,157.0
10,120,0.15,0.4,0.1,0.1,287.0,268.0
10,120,0.15,0.4,0.4,0.1,248.0,209.0
10,120,0.15,0.4,0.7,0.1,208.0,184.0
10,120,0.15,0.4,1,0.1,236.0,261.0
10,120,0.15,0.7,0,0.1,116.0,157.0
10,120,0.15,0.7,0.1,0.1,242.0,242.0
10,120,0.15,0.7,0.4,0.1,294.0,260.0
10,120,0.15,0.7,0.7,0.1,273.0,266.0
10,120,0.15,0.7,1,0.1,288.0,268.0
10,120,0.15,1,0,0.1,187.0,220.0
